pid,team,name,number,pos,b_t,wt,ht,born,debut,edu,nationality,original_name,draft
0000006231,樂天桃猿二軍,*何逸龍,96,投手,右投右打,179,77,2000/09/17,,臺北市大,中華民國,,樂天桃猿2020年第七輪
0000003563,樂天桃猿二軍,余德龍,36,左外野手,右投右打,180,73,1988/06/12,2012/03/20,嘉義大學,中華民國,,Lamigo桃猿2010年第三輪
0000002277,樂天桃猿二軍,吳丞哲,76,投手,右投右打,179,93,1995/04/09,2017/09/01,輔仁大學,中華民國,,Lamigo桃猿2017年第六輪
0000005559,樂天桃猿二軍,李承禎,55,投手,右投右打,185,85,2000/09/14,,開南大學,中華民國,,Lamigo桃猿2019年第二輪
0000006710,樂天桃猿,狂威,33,投手,右投右打,185,97,1991/08/14,2021/08/31,,美國,Dylan Covey,
0000006237,樂天桃猿,林子崴,54,投手,左投左打,178,80,2002/03/22,2021/11/05,穀保家商,中華民國,,樂天桃猿2020年第二輪
0000002286,樂天桃猿,林立,39,三壘手,右投右打,181,75,1996/01/01,2017/08/30,國立體大,中華民國,,Lamigo桃猿2017年第二輪
0000000153,樂天桃猿,林承飛,6,游擊手,右投右打,178,78,1997/04/08,2015/10/07,平鎮高中,中華民國,,Lamigo桃猿2015年第二輪
0000003467,樂天桃猿,林泓育,11,捕手,右投右打,181,103,1986/03/21,2010/03/21,文化大學,中華民國,,La new熊2008年第三輪
0000001414,樂天桃猿二軍,林知譽,30,左外野手,右投右打,185,90,1993/03/30,2018/04/26,輔仁大學,中華民國,,Lamigo桃猿2016年第八輪
0000006235,樂天桃猿二軍,林政華,65,中外野手,右投左打,173,73,2001/09/22,,臺東體中,中華民國,,樂天桃猿2020年第四輪
0000006241,樂天桃猿二軍,*林家鋒,67,捕手,右投右打,173,82,1997/09/10,,臺灣體大,中華民國,,
0000003345,樂天桃猿,林智平,79,三壘手,右投右打,178,77,1985/03/23,2009/03/29,文化大學,中華民國,,La new熊2007年第四輪
0000006226,樂天桃猿二軍,林楷錡,93,左外野手,右投左打,186,83,1998/06/12,,國立體大,中華民國,,樂天桃猿2020年第八輪
0000005510,樂天桃猿二軍,林澤彬,99,二壘手,右投左打,177,80,1998/12/23,2020/10/17,臺灣體大,中華民國,,Lamigo桃猿2019年第三輪
0000004634,樂天桃猿,邱丹,86,中外野手,左投左打,174,89,2000/07/11,2019/04/02,普門高中,中華民國,,Lamigo桃猿2018年第三輪
0000006234,樂天桃猿二軍,*邱家慶,74,捕手,右投右打,176,84,2001/10/10,,成德高中,中華民國,,樂天桃猿2020年第六輪
0000006720,樂天桃猿二軍,邱駿威,46,投手,右投右打,178,75,2002/11/10,,高苑工商,中華民國,,樂天桃猿2021年第二輪
0000001263,樂天桃猿二軍,洪聖欽,60,投手,右投右打,183,85,1990/11/15,2014/09/11,臺灣體院,中華民國,,Lamigo桃猿2014年第四輪
0000004632,樂天桃猿二軍,范柏絜,92,投手,右投右打,183,73,2000/08/13,,高苑工商,中華民國,,
